frame,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y
0,1,2,0.6884084343910217,844.5208740234375,510.1894226074219,901.2916259765625,556.421630859375,872,533
0,2,2,0.5588254928588867,813.7739868164062,483.5694580078125,844.3298950195312,521.2763671875,829,502
0,3,2,0.48167118430137634,991.172119140625,530.5682373046875,1057.47998046875,575.5343627929688,1024,553
0,4,2,0.47254040837287903,603.861572265625,359.8755798339844,637.1275024414062,386.8775939941406,620,373
0,5,2,0.41084280610084534,834.0843505859375,588.424072265625,906.5723266601562,637.4849853515625,870,612
0,6,2,0.3726550042629242,367.3314208984375,636.822998046875,442.2611999511719,687.5074462890625,404,662
1,1,2,0.722520112991333,837.0100708007812,511.7972717285156,895.0803833007812,558.9378662109375,866,535
1,2,2,0.5522921085357666,813.378173828125,482.8037109375,844.7772216796875,521.7564086914062,829,502
1,3,2,0.4702504575252533,991.0908203125,530.4342041015625,1057.5855712890625,575.9962158203125,1024,553
1,4,2,0.5733991861343384,607.2994995117188,360.0238037109375,640.8756103515625,387.1329650878906,624,373
1,5,2,0.4737461507320404,833.974365234375,588.1760864257812,906.4979248046875,637.5218505859375,870,612
1,6,2,0.3929957151412964,354.6033020019531,640.1666870117188,431.2152404785156,690.8082885742188,392,665
2,1,2,0.601754903793335,830.1674194335938,511.7108154296875,887.564453125,559.5849609375,858,535
2,2,2,0.5515190362930298,813.7278442382812,482.9351806640625,844.7701416015625,521.9789428710938,829,502
2,3,2,0.48364388942718506,991.158203125,530.3742065429688,1057.4544677734375,576.05615234375,1024,553
2,4,2,0.6518474221229553,608.4474487304688,361.451416015625,642.9593505859375,388.2373962402344,625,374
2,5,2,0.49454039335250854,834.1068115234375,588.677978515625,906.5382080078125,637.33642578125,870,613
3,1,2,0.5333834290504456,820.3717651367188,513.6092529296875,880.4334716796875,561.2767333984375,850,537
3,2,2,0.4192759394645691,814.3106079101562,482.65814208984375,844.5035400390625,522.92041015625,829,502
3,3,2,0.5080662369728088,991.5166625976562,530.4613037109375,1057.3232421875,575.8277587890625,1024,553
3,4,2,0.7353004217147827,609.4723510742188,363.5052185058594,646.3070068359375,388.87689208984375,627,376
3,5,2,0.4952978491783142,834.1885375976562,588.99072265625,906.7396850585938,637.3477783203125,870,613
4,1,2,0.48919200897216797,813.3196411132812,515.0658569335938,873.5147705078125,562.8975830078125,843,538
4,2,2,0.40756088495254517,812.8980712890625,482.1946716308594,844.08447265625,523.543212890625,828,502
4,3,2,0.4750754237174988,991.961181640625,530.6202392578125,1057.316162109375,575.6219482421875,1024,553
4,4,2,0.7441303133964539,612.4322509765625,363.62237548828125,648.5558471679688,389.4444274902344,630,376
4,5,2,0.4688374400138855,834.1520385742188,589.0882568359375,907.0166015625,637.486572265625,870,613
5,1,2,0.413195937871933,804.391845703125,517.503662109375,864.1336669921875,566.1771240234375,834,541
5,2,2,0.42890673875808716,809.4989624023438,482.4500427246094,844.4149780273438,523.6260375976562,826,503
5,3,2,0.45034968852996826,992.112060546875,530.6876831054688,1057.3555908203125,575.4075927734375,1024,553
5,4,2,0.5537447333335876,615.610107421875,365.8064270019531,651.9069213867188,390.2392578125,633,378
5,5,2,0.3808508813381195,834.255615234375,589.41357421875,907.2932739257812,637.713623046875,870,613
5,8,2,0.5331840515136719,298.68157958984375,651.611328125,374.5124206542969,705.7732543945312,336,678
6,1,2,0.404902845621109,795.7380981445312,516.871337890625,855.3154907226562,568.2084350585938,825,542
6,2,2,0.3121592402458191,808.195556640625,485.5162658691406,845.59423828125,523.6345825195312,826,504
6,3,2,0.4447002112865448,992.0818481445312,530.6985473632812,1057.3741455078125,575.13623046875,1024,552
6,4,2,0.6981723308563232,621.1643676757812,367.2578430175781,655.6461791992188,391.733642578125,638,379
6,5,2,0.3853703737258911,834.47900390625,589.2955932617188,907.3232421875,637.635009765625,870,613
6,8,2,0.43521130084991455,283.79541015625,656.7353515625,360.886962890625,711.3065185546875,322,684
7,1,2,0.31674087047576904,787.1865844726562,517.8172607421875,847.00390625,570.5333862304688,817,544
7,3,2,0.4569935202598572,992.0011596679688,530.720458984375,1057.3580322265625,575.0531005859375,1024,552
