frame,time_sec,motion_area,crash_flag
284,14.2,30524.0,0
285,14.25,29798.5,0
286,14.3,27928.0,0
287,14.35,28784.5,0
288,14.4,25844.0,0
289,14.45,24114.0,0
290,14.5,23240.0,0
291,14.55,22002.5,0
292,14.6,22660.5,0
293,14.65,24421.5,0
294,14.7,21632.0,0
295,14.75,24311.0,0
296,14.8,22549.0,0
297,14.85,23695.0,0
298,14.9,23820.0,0
299,14.95,22825.0,0
300,15.0,23731.5,0
301,15.05,23926.5,0
302,15.1,22357.0,0
303,15.15,24076.0,0
304,15.2,23293.0,0
305,15.25,21991.0,0
306,15.3,22438.0,0
307,15.35,20521.0,0
308,15.4,22631.5,0
309,15.45,22485.0,0
310,15.5,19027.5,0
311,15.55,22583.0,0
312,15.6,18477.5,0
313,15.65,19707.5,0
314,15.7,21461.0,0
315,15.75,19990.0,0
316,15.8,19829.5,0
317,15.85,21486.0,0
318,15.9,18941.5,0
319,15.95,20664.5,0
320,16.0,19083.5,0
321,16.05,21514.5,0
322,16.1,21039.5,0
323,16.15,19243.5,0
324,16.2,20123.5,0
325,16.25,19913.0,0
326,16.3,21001.0,0
327,16.35,22117.0,0
328,16.4,19259.0,0
329,16.45,20370.5,0
330,16.5,21887.0,0
331,16.55,20301.5,0
332,16.6,22716.0,0
333,16.65,22182.5,0
334,16.7,20453.0,0
335,16.75,21808.0,0
336,16.8,19463.0,0
337,16.85,19904.5,0
338,16.9,21888.0,0
339,16.95,20560.0,0
340,17.0,21267.0,0
341,17.05,20979.5,0
342,17.1,18726.5,0
343,17.15,21320.5,0
344,17.2,19901.5,0
345,17.25,19601.0,0
346,17.3,19786.5,0
347,17.35,18584.0,0
348,17.4,18342.5,0
349,17.45,17966.0,0
350,17.5,16907.0,0
351,17.55,18700.0,0
352,17.6,17829.0,0
353,17.65,19144.5,0
354,17.7,20353.0,0
355,17.75,18713.5,0
